ID do canal,URL do canal,Título do canal
UC6-_y5UlPNbnIjZRVl91Usw,http://www.youtube.com/channel/UC6-_y5UlPNbnIjZRVl91Usw,Marko Roolaid
UC62LGY1j1VrMmZS5OE4FnuQ,http://www.youtube.com/channel/UC62LGY1j1VrMmZS5OE4FnuQ,Elisey Mysin
UC63mcQWLH1qw9Jg2ED1Y8WA,http://www.youtube.com/channel/UC63mcQWLH1qw9Jg2ED1Y8WA,AXS TV
UC64Cb2CsSOumqq0EZckC7lw,http://www.youtube.com/channel/UC64Cb2CsSOumqq0EZckC7lw,Code Genix
UC6KlBoZBta-zkDB2L_nAtqQ,http://www.youtube.com/channel/UC6KlBoZBta-zkDB2L_nAtqQ,Guilherme Freire
UC6PFZbmXDe0MGVrlBwQyj8w,http://www.youtube.com/channel/UC6PFZbmXDe0MGVrlBwQyj8w,Eduardo Perrone
UC6U-DwxU_RCrc4LWfeXRflA,http://www.youtube.com/channel/UC6U-DwxU_RCrc4LWfeXRflA,Tom Cruz
UC6YYHJzM6PhZ2Yey9BQiUaw,http://www.youtube.com/channel/UC6YYHJzM6PhZ2Yey9BQiUaw,Cursor
UC6ZFN9Tx6xh-skXCuRHCDpQ,http://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour
UC6a5hujlVVZpxC4WfEqVAbg,http://www.youtube.com/channel/UC6a5hujlVVZpxC4WfEqVAbg,Stefan Langer
UC6bMtPdKDxeHpASacivx5vQ,http://www.youtube.com/channel/UC6bMtPdKDxeHpASacivx5vQ,Bruno Okamoto
UC6kpDTAXXNV5SEP5g1HoPTA,http://www.youtube.com/channel/UC6kpDTAXXNV5SEP5g1HoPTA,HouzzTV
UC6mX6bbcEmQoaznI0D7Aw5Q,http://www.youtube.com/channel/UC6mX6bbcEmQoaznI0D7Aw5Q,Mundo do Traqueamento
UC6t1O76G0jYXOAoYCm153dA,http://www.youtube.com/channel/UC6t1O76G0jYXOAoYCm153dA,Lenny's Podcast
UC6uX6GF5q2JxLjMkyivM2Og,http://www.youtube.com/channel/UC6uX6GF5q2JxLjMkyivM2Og,Nathan Florence
UC6vRUjYqDuoUsYsku86Lrsw,http://www.youtube.com/channel/UC6vRUjYqDuoUsYsku86Lrsw,Jack Herrington
UC6znb1-zW4rfzGfNqDOxq-A,http://www.youtube.com/channel/UC6znb1-zW4rfzGfNqDOxq-A,Arvow
UC726J5A0LLFRxQ0SZqr2mYQ,http://www.youtube.com/channel/UC726J5A0LLFRxQ0SZqr2mYQ,Curious Droid
UC7Hr7x3J-4oQGuKAOwRyUEA,http://www.youtube.com/channel/UC7Hr7x3J-4oQGuKAOwRyUEA,Canal Rodrigo Alvarez
UC7TvL4GlQyMBLlUsTrN_C4Q,http://www.youtube.com/channel/UC7TvL4GlQyMBLlUsTrN_C4Q,corbettreport
UC7ZtJEBGWdjF0iRDTiD0HXw,http://www.youtube.com/channel/UC7ZtJEBGWdjF0iRDTiD0HXw,Super Nutridos
UC7_gcs09iThXybpVgjHZ_7g,http://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g,PBS Space Time
UC7c8mE90qCtu11z47U0KErg,http://www.youtube.com/channel/UC7c8mE90qCtu11z47U0KErg,nature video
UC7htuVs06oduI3xSfTdcxPA,http://www.youtube.com/channel/UC7htuVs06oduI3xSfTdcxPA,48 Hours
UC7lb7-6SLqw-wiJlq3LMy2A,http://www.youtube.com/channel/UC7lb7-6SLqw-wiJlq3LMy2A,Jeffrey @ Lytbox
UC7qCAvNXX0Pi05tufrDN0XQ,http://www.youtube.com/channel/UC7qCAvNXX0Pi05tufrDN0XQ,Adam Carolla
UC7sDT8jZ76VLV1u__krUutA,http://www.youtube.com/channel/UC7sDT8jZ76VLV1u__krUutA,DUST
UC7sg9FpMWMamzWE2lJPY-Dg,http://www.youtube.com/channel/UC7sg9FpMWMamzWE2lJPY-Dg,The Back Focus
UC86LAcioNfLiieWJ7VwGrww,http://www.youtube.com/channel/UC86LAcioNfLiieWJ7VwGrww,Open Plan
UC873OURVczg_utAk8dXx_Uw,http://www.youtube.com/channel/UC873OURVczg_utAk8dXx_Uw,RCLifeOn
UC88lvyJe7aHZmcvzvubDFRg,http://www.youtube.com/channel/UC88lvyJe7aHZmcvzvubDFRg,Timeline - World History Documentaries
UC8EQAfueDGNeqb1ALm0LjHA,http://www.youtube.com/channel/UC8EQAfueDGNeqb1ALm0LjHA,Exploring Alternatives
UC8FJmudWGFWspqQVsDzPGZg,http://www.youtube.com/channel/UC8FJmudWGFWspqQVsDzPGZg,André Elias | Dev
UC8Ioh4atNDO5a0Vy2qFmauQ,http://www.youtube.com/channel/UC8Ioh4atNDO5a0Vy2qFmauQ,NTD
UC8WLg9gshrtZA1-swL5D9Kg,http://www.youtube.com/channel/UC8WLg9gshrtZA1-swL5D9Kg,Tim Gabe
UC8butISFwT-Wl7EV0hUK0BQ,http://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org
UC8efBuMd2Tsolb5uTfpex3A,http://www.youtube.com/channel/UC8efBuMd2Tsolb5uTfpex3A,Club Random Podcast
UC8kXgHG13XdgsigIPRmrIyA,http://www.youtube.com/channel/UC8kXgHG13XdgsigIPRmrIyA,QuantInsti Quantitative Learning
UC8lsbXXdjZ5vWh2fnKZ8lqQ,http://www.youtube.com/channel/UC8lsbXXdjZ5vWh2fnKZ8lqQ,Sailing Yacht Talisman
UC8lxnUR_CzruT2KA6cb7p0Q,http://www.youtube.com/channel/UC8lxnUR_CzruT2KA6cb7p0Q,Envato Tuts+
UC8nsCoikuQdKJflLAOEwlTw,http://www.youtube.com/channel/UC8nsCoikuQdKJflLAOEwlTw,David Choe
UC94m18wtI9QAYrXKXqFPWDg,http://www.youtube.com/channel/UC94m18wtI9QAYrXKXqFPWDg,Ben Mallah
UC97oJIQN9Hc4HQi87cVgsKg,http://www.youtube.com/channel/UC97oJIQN9Hc4HQi87cVgsKg,Pedro Sobral
UC9DXAsBD4-ITVuvpd68401Q,http://www.youtube.com/channel/UC9DXAsBD4-ITVuvpd68401Q,AutoTopNL
UC9Gin8zVjjzywF_sW9fkODA,http://www.youtube.com/channel/UC9Gin8zVjjzywF_sW9fkODA,Chris Stefanick | Real Life Catholic
UC9IZYXzt4dl13MAycfoyMdQ,http://www.youtube.com/channel/UC9IZYXzt4dl13MAycfoyMdQ,rareliquid
UC9ImFr6_X4ClFk4Q73061_A,http://www.youtube.com/channel/UC9ImFr6_X4ClFk4Q73061_A,Descomplica Ads
UC9LH3xFOJCCp2VFRcZjNdRQ,http://www.youtube.com/channel/UC9LH3xFOJCCp2VFRcZjNdRQ,TICARACATICAST
UC9PIn6-XuRKZ5HmYeu46AIw,http://www.youtube.com/channel/UC9PIn6-XuRKZ5HmYeu46AIw,Barely Sociable
UC9S8WL6yLLp1rzGsRnDuxZA,http://www.youtube.com/channel/UC9S8WL6yLLp1rzGsRnDuxZA,Chef Tom Kerridge
UC9T6NSxBqFpO4HiCBcwXU0Q,http://www.youtube.com/channel/UC9T6NSxBqFpO4HiCBcwXU0Q,Alexandra Cooper
UC9U4nIDyIzzelXrjNQXNvxA,http://www.youtube.com/channel/UC9U4nIDyIzzelXrjNQXNvxA,Pânico Jovem Pan
UC9XgHRINmbJdIzrXKdb0Cog,http://www.youtube.com/channel/UC9XgHRINmbJdIzrXKdb0Cog,Fabricio Gonçalvez 
UC9cn0TuPq4dnbTY-CBsm8XA,http://www.youtube.com/channel/UC9cn0TuPq4dnbTY-CBsm8XA,a16z
UC9eqqiRqOShIza9WvVEtJow,http://www.youtube.com/channel/UC9eqqiRqOShIza9WvVEtJow,Eda Atilla
UC9g-HSG6B7XoSQHp8lR6a0Q,http://www.youtube.com/channel/UC9g-HSG6B7XoSQHp8lR6a0Q,Recanto Curicaca
UC9mdw2mmn49ZuqGOpSri7Fw,http://www.youtube.com/channel/UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles
UC9q0KJz1wLp0-5ScE_FPmEg,http://www.youtube.com/channel/UC9q0KJz1wLp0-5ScE_FPmEg,MicroStrategy
UC9rRsBE2nFbnUSjtmv6Jq6w,http://www.youtube.com/channel/UC9rRsBE2nFbnUSjtmv6Jq6w,Sailing Ruby Rose
UC9sXw4ZdPEIp6bYGvLW-_iA,http://www.youtube.com/channel/UC9sXw4ZdPEIp6bYGvLW-_iA,vpro documentary
UC9x0AN7BWHpCDHSm9NiJFJQ,http://www.youtube.com/channel/UC9x0AN7BWHpCDHSm9NiJFJQ,NetworkChuck
UC9xZhGz3zZl3gv0IRfYhMDQ,http://www.youtube.com/channel/UC9xZhGz3zZl3gv0IRfYhMDQ,Kristina's Travels
UC9zTuyWffK9ckEz1216noAw,http://www.youtube.com/channel/UC9zTuyWffK9ckEz1216noAw,FliteTest
UCAG6t1lcCLw6ShcOMgIk_WA,http://www.youtube.com/channel/UCAG6t1lcCLw6ShcOMgIk_WA,Sergio Reis
UCAM8mXlq6gw0QXHR30CkKbg,http://www.youtube.com/channel/UCAM8mXlq6gw0QXHR30CkKbg,Kevin Badi | AI Operating Systems 
UCAPpi1iWQFyW6V4ssQzZwHg,http://www.youtube.com/channel/UCAPpi1iWQFyW6V4ssQzZwHg,Devour Power TV
UCATWC1JSlhzmYeDbjnS8WwA,http://www.youtube.com/channel/UCATWC1JSlhzmYeDbjnS8WwA,Senpai Gaming
UCAWxZyfEPejhGJv8Z4wbKBw,http://www.youtube.com/channel/UCAWxZyfEPejhGJv8Z4wbKBw,Adam Curtis Documentary
UCAY-SMFNfynqz1bdoaV8BeQ,http://www.youtube.com/channel/UCAY-SMFNfynqz1bdoaV8BeQ,NASA Goddard
UCAl4zrrhZFYrHamdEKSCUKg,http://www.youtube.com/channel/UCAl4zrrhZFYrHamdEKSCUKg,Daft Funk Live
UCAq4l4wxdM-9NfUfJ9b3RiA,http://www.youtube.com/channel/UCAq4l4wxdM-9NfUfJ9b3RiA,Vision Video
UCAqgweJ0U1NbIIOm30j8i6g,http://www.youtube.com/channel/UCAqgweJ0U1NbIIOm30j8i6g,Sailing SV OliLuki
UCAwylBbx8RiRD3VsaYdwNTw,http://www.youtube.com/channel/UCAwylBbx8RiRD3VsaYdwNTw,Video Advice
UCB1dKL1SVnSLcg2jVyNGvSA,http://www.youtube.com/channel/UCB1dKL1SVnSLcg2jVyNGvSA,Brothers Moving
UCB6PV0cvJpzlcXRG7nz6PpQ,http://www.youtube.com/channel/UCB6PV0cvJpzlcXRG7nz6PpQ,Motherboard
UCB8QPl90dAeqvdTDt7shbJA,http://www.youtube.com/channel/UCB8QPl90dAeqvdTDt7shbJA,Travel and Fun
